Gene_set	Z_score(n-LEGO)	P_value(n-LEGO)	Z_score(e-LEGO)	P_value(e-LEGO)	gsSize	gsSize_net	intSize	intSize_net	overlapSize	InterestingGeneListID
88	-0.075764	0.530197	-1.941807	1.000000	23	21	170	151	1	1
89	0.958049	0.169019	-1.228282	0.892922	15	14	170	151	1	1
90	0.156957	0.437640	-1.110642	0.868202	21	19	170	151	1	1
91	-0.250765	0.599008	-0.829925	0.797106	17	12	170	151	0	1
92	-0.049081	0.519573	-1.619862	0.958689	22	21	170	151	1	1
93	-0.218599	0.586523	-1.646252	0.962528	15	14	170	151	0	1
94	-0.230148	0.591016	-2.171532	1.000000	11	10	170	151	0	1
95	-0.148563	0.559052	-0.583433	0.720290	10	9	170	151	0	1
96	-0.017971	0.507169	-1.605403	0.956569	22	20	170	151	1	1
97	-0.232261	0.591837	-1.328512	0.911885	17	14	170	151	0	1
98	0.246809	0.402528	-0.867360	0.807611	23	20	170	151	2	1
99	-0.337984	0.632326	-1.601708	0.956025	38	35	170	151	0	1
100	-0.258952	0.602170	-1.266711	0.900407	16	14	170	151	0	1
101	-0.264003	0.604118	-1.071890	0.859428	17	17	170	151	0	1
102	-0.323973	0.627033	-0.345437	0.635131	27	26	170	151	0	1
103	-0.234438	0.592682	-0.771802	0.780172	33	25	170	151	0	1
104	-0.286580	0.612791	-1.676765	0.966927	26	22	170	151	0	1
105	-0.089539	0.535674	-1.264710	0.900024	23	22	170	151	1	1
106	0.168688	0.433021	-1.291006	0.904999	22	20	170	151	1	1
107	0.535936	0.296001	-0.469881	0.680820	38	33	170	151	3	1
108	-0.330388	0.629459	-0.544148	0.706900	23	19	170	151	0	1
109	0.047277	0.481146	-0.520575	0.698727	46	39	170	151	2	1
110	-0.276074	0.608762	-0.981590	0.837708	13	11	170	151	0	1
111	-0.252243	0.599579	-0.535402	0.703879	12	10	170	151	0	1
112	-0.335380	0.631344	-0.175258	0.569564	31	24	170	151	1	1
113	0.295559	0.383784	0.903038	0.183253	11	10	170	151	1	1
114	-0.334939	0.631177	-1.134895	0.873530	87	74	170	151	1	1
115	-0.341289	0.633571	0.588385	0.278137	25	21	170	151	0	1
116	0.075008	0.470104	0.017887	0.492864	58	50	170	151	3	1
117	2.967159	0.001503	-0.837137	0.799155	18	16	170	151	1	1
118	-0.172045	0.568301	-1.370534	0.919321	11	8	170	151	0	1
