Gene_set	Z_score(n-LEGO)	P_value(n-LEGO)	Z_score(e-LEGO)	P_value(e-LEGO)	gsSize	gsSize_net	intSize	intSize_net	overlapSize
128	-0.245914	0.597131	-0.877104	0.810294	17	17	170	151	0
129	-0.257095	0.601453	-1.676953	0.966954	15	15	170	151	0
130	1.609332	0.053772	-0.479137	0.684123	15	12	170	151	1
131	4.707798	0.000001	-0.633905	0.737055	13	11	170	151	1
132	-0.359745	0.640497	-1.161828	0.879304	40	33	170	151	0
133	-0.247096	0.597588	0.858151	0.195404	16	15	170	151	0
134	-0.192114	0.576176	-1.115025	0.869174	32	28	170	151	2
135	1.073595	0.141502	0.352416	0.362263	20	13	170	151	1
136	-0.292446	0.615036	-0.013649	0.505445	23	21	170	151	0
137	-0.227564	0.590012	0.012121	0.495164	12	11	170	151	0
138	-0.225495	0.589207	0.769151	0.220902	27	23	170	151	1
139	-0.201305	0.579773	-1.153845	0.877608	11	9	170	151	0
140	-0.324055	0.627064	2.365761	0.008997	31	25	170	151	0
141	-0.290215	0.614183	2.274991	0.011453	14	13	170	151	0
142	-0.247912	0.597904	-0.753022	0.774540	14	12	170	151	0
143	-0.464501	0.678894	-2.512872	1.000000	28	25	170	151	0
144	-0.119793	0.547677	-0.310676	0.621987	15	12	170	151	1
145	-0.271252	0.606908	-0.894886	0.815134	18	16	170	151	0
146	-0.245348	0.596912	-2.339376	1.000000	12	11	170	151	0
147	-0.245627	0.597020	-0.978947	0.837045	23	22	170	151	0
148	-0.242562	0.595833	-1.361216	0.917696	23	20	170	151	0
149	-0.304345	0.619577	-1.363893	0.918164	20	17	170	151	0
150	-0.175448	0.569639	5.041266	0.000000	13	11	170	151	1
151	-0.409914	0.659091	-1.550887	0.948442	42	39	170	151	0
152	0.016143	0.493560	-0.156904	0.562342	26	25	170	151	1
153	-0.276230	0.608822	0.084588	0.466294	17	17	170	151	0
154	-0.220503	0.587264	-2.549477	1.000000	11	9	170	151	0
155	-0.324460	0.627217	-1.436423	0.930439	24	19	170	151	0
156	-0.281169	0.610718	-0.683529	0.753036	15	11	170	151	0
157	-0.230381	0.591107	1.007480	0.156852	13	11	170	151	0
158	-0.310426	0.621892	0.639749	0.261168	26	19	170	151	0
159	-0.198317	0.578605	-0.634915	0.737385	17	13	170	151	0
160	0.285049	0.387803	-0.033920	0.513530	14	14	170	151	1
161	-0.228043	0.590198	-1.068271	0.858592	11	10	170	151	0
162	-0.314001	0.623251	-0.995589	0.841194	32	25	170	151	0
163	-0.210241	0.583264	-0.581404	0.719605	12	10	170	151	0
164	-0.316535	0.624213	2.895831	0.001891	21	19	170	151	0
165	5.136232	0.000000	1.921069	0.027361	18	15	170	151	2
166	-0.246237	0.597256	-0.588255	0.721913	22	21	170	151	0
167	-0.255797	0.600952	-0.867563	0.807667	18	16	170	151	0
168	-0.244245	0.596485	-1.642575	0.961995	19	15	170	151	0
169	-0.255099	0.600683	-0.524566	0.700118	23	14	170	151	0
170	-0.261869	0.603295	-1.289736	0.904762	21	16	170	151	0
171	-0.252471	0.599667	0.152605	0.439355	16	15	170	151	0
172	-0.257124	0.601465	-1.917292	1.000000	13	12	170	151	0
173	-0.290373	0.614243	-1.179863	0.883087	16	14	170	151	0
174	-0.129030	0.551334	4.704112	0.000001	10	7	170	151	1
175	-0.231359	0.591487	0.026884	0.489276	12	11	170	151	0
176	-0.269789	0.606346	-0.764366	0.777951	21	17	170	151	0
177	-0.241689	0.595494	0.174007	0.430930	15	13	170	151	0
178	-0.259658	0.602442	-0.895006	0.815166	29	27	170	151	0
179	-0.154807	0.561515	-1.392270	0.923059	33	26	170	151	1
180	-0.243846	0.596330	-0.885809	0.812672	37	33	170	151	1
181	-0.285389	0.612335	0.519730	0.301626	37	31	170	151	1
182	-0.270124	0.606475	-1.989213	1.000000	20	18	170	151	0
183	-0.241099	0.595266	-0.696569	0.757150	10	9	170	151	0
184	-0.278854	0.609829	0.255020	0.399354	16	15	170	151	0
185	-0.132608	0.552750	4.273479	0.000010	11	10	170	151	1
186	-0.033265	0.513269	-0.228727	0.590464	18	17	170	151	1
187	-0.217289	0.586012	0.968729	0.166340	10	10	170	151	0
188	-0.256720	0.601308	0.386558	0.349542	19	18	170	151	1
189	-0.237444	0.593849	0.726374	0.233805	15	12	170	151	0
190	-0.351569	0.637435	-0.837635	0.799295	49	40	170	151	1
191	-0.286637	0.612813	-0.998203	0.841840	14	12	170	151	0
192	-0.284179	0.611871	-0.995542	0.841182	14	12	170	151	0
193	-0.246014	0.597170	-0.775130	0.781162	15	13	170	151	0
194	-0.289619	0.613955	-0.833552	0.798138	18	17	170	151	0
195	-0.287554	0.613164	1.710292	0.043606	19	15	170	151	0
196	-0.245431	0.596944	-0.901106	0.816810	19	18	170	151	0
197	1.170597	0.120880	-1.515370	0.943010	17	16	170	151	1
198	-0.253209	0.599952	-1.770696	0.980359	8	7	170	151	0
199	-0.283623	0.611658	-0.907918	0.818636	21	17	170	151	0
200	-0.233611	0.592361	-0.912582	0.819879	15	11	170	151	0
201	-0.206192	0.581683	-0.574146	0.717151	10	9	170	151	0
202	-0.382612	0.649016	2.552915	0.005341	37	28	170	151	0
203	-0.194701	0.577190	-1.340465	0.914029	25	23	170	151	1
204	-0.132535	0.552721	-1.156997	0.878279	29	24	170	151	1
205	-0.242583	0.595841	-1.265003	0.900081	18	15	170	151	0
206	-0.121827	0.548483	-1.343329	0.914539	37	33	170	151	1
207	-0.266851	0.605215	-1.021533	0.847539	24	22	170	151	1
208	-0.366122	0.642880	0.082524	0.467115	27	24	170	151	0
209	-0.252981	0.599864	-0.101368	0.540372	13	13	170	151	0
210	-0.293966	0.615617	-1.017538	0.846571	21	17	170	151	0
211	-0.235873	0.593239	-0.668472	0.748240	12	10	170	151	0
212	-0.303828	0.619380	-1.348286	0.915419	17	16	170	151	0
213	-0.232958	0.592108	-0.036078	0.514390	18	13	170	151	0
214	-0.314289	0.623360	-2.405263	1.000000	29	22	170	151	0
215	-0.229839	0.590896	1.914207	0.027797	11	11	170	151	0
216	-0.276274	0.608838	-1.686371	0.968305	26	21	170	151	0
217	-0.291715	0.614756	-1.610555	0.957326	20	17	170	151	0
218	-0.465064	0.679096	-1.136982	0.873983	62	52	170	151	0
219	-0.446904	0.672562	-2.211900	1.000000	32	26	170	151	0
220	-0.292694	0.615131	-1.605421	0.956572	27	20	170	151	0
221	-0.278690	0.609766	-0.990617	0.839961	28	24	170	151	0
222	-0.272422	0.607359	-1.502281	0.940975	34	27	170	151	0
223	-0.256596	0.601261	-1.396505	0.923779	26	23	170	151	0
224	-0.285525	0.612387	-1.009848	0.844699	25	23	170	151	0
225	-0.357144	0.639524	-1.156357	0.878143	42	36	170	151	0
226	-0.266927	0.605244	-0.583928	0.720457	17	14	170	151	0
227	-0.237544	0.593888	-0.772606	0.780412	16	16	170	151	0
228	-0.347898	0.636056	-0.781453	0.783036	55	51	170	151	0
229	-0.847010	0.801940	-1.781058	0.981844	135	112	170	151	0
230	-0.545523	0.707373	-1.346000	0.915014	159	136	170	151	3
231	-0.522871	0.699528	-0.800706	0.788687	98	83	170	151	1
232	-0.317376	0.624532	-1.038027	0.851494	32	27	170	151	0
233	-0.211877	0.583902	-0.918114	0.821348	31	25	170	151	0
234	-0.229893	0.590917	-1.755186	0.978140	34	28	170	151	1
235	-0.415586	0.661170	-1.135637	0.873691	44	34	170	151	0
236	-0.216122	0.585558	-1.963779	1.000000	11	7	170	151	0
237	-0.231633	0.591593	-1.593477	0.954810	44	39	170	151	1
238	-0.331278	0.629795	-0.850376	0.802884	54	43	170	151	0
239	-0.298435	0.617324	-0.906264	0.818193	29	26	170	151	0
240	-0.387993	0.651011	-2.077313	1.000000	42	32	170	151	0
241	-0.263674	0.603991	-1.843177	0.990832	18	13	170	151	0
242	-0.315793	0.623931	-1.159805	0.878875	40	37	170	151	0
243	-0.270600	0.606658	-1.190700	0.885328	22	20	170	151	0
244	3.032740	0.001212	0.136050	0.445891	10	7	170	151	1
245	-0.276548	0.608944	-2.167835	1.000000	26	23	170	151	0
246	1.291995	0.098180	-0.319806	0.625454	50	40	170	151	2
247	-0.365562	0.642671	-0.864301	0.806765	52	40	170	151	0
248	-0.383549	0.649364	-1.493640	0.939622	46	40	170	151	0
249	-0.235504	0.593096	-1.336109	0.913250	16	12	170	151	0
250	-0.273832	0.607900	-0.456979	0.676194	30	23	170	151	0
251	-0.332326	0.630191	-1.485190	0.938291	44	36	170	151	0
252	-0.283472	0.611601	-0.848738	0.802425	21	18	170	151	0
253	-0.217591	0.586130	-0.754946	0.775121	22	19	170	151	0
254	2.668019	0.003815	0.000832	0.499668	15	14	170	151	1
255	-0.295255	0.616110	-0.751755	0.774158	26	23	170	151	0
256	-0.125548	0.549956	-0.698873	0.757873	49	40	170	151	2
257	-0.313148	0.622927	-0.626144	0.734510	54	46	170	151	0
258	-0.259337	0.602318	-0.665105	0.747162	25	22	170	151	0
259	-0.221460	0.587637	-0.633976	0.737078	77	71	170	151	1
260	0.081953	0.467342	0.399156	0.344889	33	30	170	151	1
261	-0.317189	0.624461	-0.791700	0.786054	58	48	170	151	0
262	-0.285327	0.612311	-0.818429	0.793816	29	25	170	151	0
263	-0.290801	0.614407	-0.793892	0.786696	19	17	170	151	0
264	-0.242902	0.595965	-1.302763	0.907184	40	35	170	151	1
265	-0.168507	0.566910	-0.370732	0.644600	26	22	170	151	1
266	-0.226560	0.589621	-1.424164	0.928418	14	13	170	151	0
267	-0.290382	0.614247	0.545678	0.292644	15	15	170	151	0
268	-0.380596	0.648268	-1.308077	0.908164	40	40	170	151	0
269	0.030334	0.487900	-2.245406	1.000000	16	14	170	151	1
270	-0.325946	0.627780	-1.331287	0.912385	33	28	170	151	0
271	-0.336407	0.631731	-1.194876	0.886186	34	29	170	151	0
272	2.454195	0.007060	-0.565949	0.714367	17	13	170	151	1
273	-0.275090	0.608384	-2.167632	1.000000	16	13	170	151	0
274	-0.443676	0.671395	-0.961090	0.832524	24	18	170	151	0
275	-0.331047	0.629708	-1.449512	0.932576	16	12	170	151	0
276	-0.195056	0.577328	-0.617419	0.731634	11	10	170	151	0
277	-0.423440	0.664041	-0.807175	0.790567	64	53	170	151	0
278	-0.280955	0.610635	-0.907907	0.818633	41	36	170	151	0
279	-0.256352	0.601166	-1.206941	0.888644	15	15	170	151	0
280	-0.240224	0.594927	-1.170192	0.881066	10	9	170	151	0
281	-0.346091	0.635378	-0.612971	0.730163	23	21	170	151	0
282	-0.258299	0.601918	-0.521817	0.699161	13	11	170	151	0
283	-0.392519	0.652685	-2.067957	1.000000	41	31	170	151	0
284	-0.367980	0.643574	-0.789291	0.785347	70	59	170	151	1
285	-0.425377	0.664748	-0.774463	0.780964	72	59	170	151	1
286	-0.355106	0.638761	-0.899262	0.816314	51	43	170	151	0
287	-0.268032	0.605669	-1.423100	0.928241	22	21	170	151	0
288	6.715953	0.000000	4.075187	0.000023	44	30	170	151	4
289	-0.837226	0.799180	-1.860928	0.993441	88	81	170	151	0
290	-0.470074	0.680889	-1.849380	0.991741	59	51	170	151	0
291	-0.437180	0.669041	-1.843198	0.990835	29	26	170	151	0
292	-0.395365	0.653735	-1.436770	0.930496	36	34	170	151	0
293	-0.464672	0.678956	4.865680	0.000001	36	32	170	151	0
294	-0.831593	0.797581	-1.695976	0.969681	128	95	170	151	0
295	-0.552759	0.709860	-2.479994	1.000000	48	41	170	151	0
296	-0.361103	0.641006	-2.533982	1.000000	24	21	170	151	0
297	-0.304723	0.619721	-0.825941	0.795969	69	63	170	151	1
298	-0.287118	0.612997	3.809561	0.000070	35	28	170	151	0
299	-0.410494	0.659304	-0.157631	0.562628	44	41	170	151	0
300	-0.344850	0.634911	2.101728	0.017789	23	21	170	151	0
301	-0.314576	0.623469	4.781439	0.000001	28	23	170	151	0
302	-0.230617	0.591198	1.504725	0.066197	14	11	170	151	0
303	-0.460268	0.677376	-0.461739	0.677904	267	227	170	151	3
304	-0.367013	0.643213	-0.692555	0.755887	87	81	170	151	2
305	-0.349405	0.636622	0.248402	0.401912	178	150	170	151	3
306	1.300811	0.096662	-0.352647	0.637839	267	214	170	151	9
307	-0.538701	0.705020	-1.153426	0.877519	190	163	170	151	4
308	-0.402030	0.656193	-0.039533	0.515767	76	66	170	151	0
309	-0.555939	0.710949	-0.876494	0.810127	272	220	170	151	5
310	1.126005	0.130082	5.616641	0.000000	128	103	170	151	3
311	0.575918	0.282335	0.991665	0.160680	114	94	170	151	2
312	1.051339	0.146552	2.767000	0.002829	69	49	170	151	3
313	-0.413462	0.660392	-1.861051	0.993459	138	118	170	151	2
314	-0.316971	0.624378	-1.138071	0.874219	38	32	170	151	0
315	-0.405106	0.657324	-1.378805	0.920752	35	29	170	151	0
316	-0.614695	0.730734	-0.985483	0.838682	121	99	170	151	0
317	-0.555502	0.710800	-1.298562	0.906406	183	151	170	151	1
318	-0.481792	0.685067	-0.619660	0.732375	78	66	170	151	0
319	-0.338753	0.632616	-1.016415	0.846299	52	47	170	151	1
320	-0.396795	0.654263	-1.170966	0.881229	88	75	170	151	0
321	-0.506730	0.693881	-1.423565	0.928318	80	71	170	151	0
322	0.358241	0.360081	2.173399	0.014875	115	100	170	151	5
323	-0.458608	0.676779	-0.634559	0.737269	151	134	170	151	2
324	-0.246732	0.597447	-0.856405	0.804570	25	22	170	151	0
325	-0.269220	0.606127	-1.655911	0.963924	47	38	170	151	0
326	-0.435009	0.668253	-0.619441	0.732302	56	53	170	151	0
327	-0.414070	0.660615	0.317208	0.375543	86	72	170	151	1
328	0.746451	0.227697	-0.231041	0.591363	129	117	170	151	4
329	-0.410469	0.659294	-0.328984	0.628928	76	63	170	151	0
330	2.190829	0.014232	1.919371	0.027469	201	175	170	151	10
331	0.705227	0.240335	2.031102	0.021122	84	74	170	151	3
332	-0.315764	0.623920	-0.725000	0.765994	134	118	170	151	2
333	-0.407113	0.658062	0.829941	0.203286	75	63	170	151	1
334	-0.359444	0.640385	2.910643	0.001803	134	113	170	151	3
335	-0.358145	0.639899	1.309048	0.095259	90	77	170	151	3
336	-0.410992	0.659486	-0.523378	0.699705	69	58	170	151	1
337	-0.436214	0.668691	-0.629583	0.735639	89	67	170	151	0
338	1.171207	0.120758	-0.357436	0.639633	17	14	170	151	1
339	-0.456458	0.676006	-1.145072	0.875730	102	90	170	151	1
340	-0.349082	0.636501	-1.555462	0.949134	62	46	170	151	1
341	-0.417407	0.661837	-1.032307	0.850129	71	57	170	151	0
342	-0.463643	0.678587	-0.762094	0.777271	56	44	170	151	0
343	-0.440173	0.670126	-1.008888	0.844465	155	134	170	151	4
344	-0.386768	0.650557	-0.891899	0.814326	88	75	170	151	3
345	-0.486456	0.686724	-1.269633	0.900965	137	111	170	151	0
346	-0.475020	0.682656	-1.225867	0.892442	108	92	170	151	2
347	-0.459288	0.677024	-1.379599	0.920888	75	64	170	151	1
348	-0.461162	0.677697	-0.821742	0.794768	79	70	170	151	0
349	-0.518288	0.697929	-0.750638	0.773820	97	86	170	151	1
350	-0.210001	0.583170	-0.942867	0.827836	118	99	170	151	2
351	-0.366423	0.642993	-0.575371	0.717566	48	42	170	151	0
352	-0.203008	0.580439	-0.412287	0.659961	13	12	170	151	0
353	-0.423988	0.664241	0.113949	0.454639	70	61	170	151	0
354	-0.545551	0.707383	-0.991896	0.840279	126	113	170	151	1
355	-0.363545	0.641918	-0.242354	0.595752	70	63	170	151	0
356	-0.412264	0.659953	-0.254754	0.600549	389	231	170	151	0
357	-0.247365	0.597693	-0.572114	0.716462	52	25	170	151	0
358	-0.437396	0.669119	0.461931	0.322065	216	176	170	151	3
359	-0.524592	0.700127	-0.826325	0.796079	137	119	170	151	1
360	-0.400021	0.655453	-0.029205	0.511650	101	91	170	151	1
361	0.246171	0.402775	0.237242	0.406235	86	76	170	151	2
362	-0.047759	0.519046	0.437100	0.331020	102	86	170	151	3
363	-0.434767	0.668165	-1.110226	0.868109	67	57	170	151	0
364	-0.390643	0.651991	-0.873970	0.809433	47	43	170	151	0
365	-0.428637	0.665935	-0.571274	0.716177	44	39	170	151	0
366	-0.204506	0.581024	-0.857602	0.804903	25	20	170	151	0
367	-0.395766	0.653884	0.290097	0.385871	42	39	170	151	1
368	-0.289847	0.614042	-1.769591	0.980201	44	35	170	151	0
369	-0.248484	0.598126	-0.287289	0.613063	23	19	170	151	0
370	-0.796788	0.787544	-1.931115	1.000000	169	143	170	151	2
371	-0.836108	0.798863	-1.840911	0.990500	133	112	170	151	0
372	-0.428649	0.665940	-0.598798	0.725447	53	44	170	151	0
373	-0.843304	0.800897	-2.064487	1.000000	185	156	170	151	0
374	-0.344999	0.634967	2.021085	0.021635	35	32	170	151	0
375	-0.359223	0.640302	-1.343016	0.914484	56	42	170	151	0
376	-0.415248	0.661046	-1.141741	0.875012	68	52	170	151	1
377	-0.390311	0.651868	0.247204	0.402375	59	44	170	151	1
378	-0.472652	0.681811	-0.873672	0.809352	72	62	170	151	1
379	0.018536	0.492606	0.119071	0.452609	328	280	170	151	10
380	-0.273096	0.607618	-1.318597	0.910088	62	56	170	151	2
381	-0.250817	0.599028	-1.341584	0.914229	70	66	170	151	3
382	-0.398267	0.654806	-1.213749	0.890018	70	65	170	151	1
383	-0.376670	0.646810	-0.793868	0.786690	52	46	170	151	1
384	-0.436826	0.668913	-0.051929	0.520708	65	57	170	151	1
385	-0.322992	0.626661	-0.679947	0.751899	89	77	170	151	3
386	0.162131	0.435601	-1.317451	0.909879	29	25	170	151	1
387	-0.269137	0.606095	3.056015	0.001122	55	51	170	151	1
388	-0.106775	0.542517	-0.421762	0.663429	71	60	170	151	2
389	0.289017	0.386284	-0.199561	0.579091	42	34	170	151	1
390	-0.445547	0.672071	-1.211926	0.889651	73	63	170	151	0
391	-0.356852	0.639415	-1.362481	0.917918	60	50	170	151	3
392	4.223145	0.000012	3.396690	0.000341	84	73	170	151	2
393	-0.402304	0.656294	-0.359593	0.640441	54	46	170	151	0
394	-0.358253	0.639939	-0.542995	0.706502	30	27	170	151	0
395	-0.447844	0.672901	-0.572402	0.716559	53	47	170	151	0
396	-0.563220	0.713437	-0.299362	0.617678	140	94	170	151	0
397	-0.429411	0.666218	-0.583625	0.720355	38	35	170	151	0
398	-0.430041	0.666447	-0.578221	0.718530	42	34	170	151	0
399	-0.306187	0.620279	-0.948602	0.829320	35	28	170	151	0
400	1.527500	0.063318	1.012590	0.155628	85	77	170	151	1
401	1.378040	0.084096	2.495621	0.006287	76	68	170	151	2
402	1.576441	0.057462	1.285210	0.099360	92	83	170	151	1
403	-0.355581	0.638939	-0.639360	0.738836	73	63	170	151	3
404	-0.265103	0.604542	-0.876269	0.810065	18	14	170	151	0
405	-0.979093	0.837082	-2.110813	1.000000	222	129	170	151	0
406	-0.193038	0.576538	-0.949331	0.829508	12	10	170	151	0
407	-0.346996	0.635718	-2.038524	1.000000	23	22	170	151	0
408	2.767012	0.002829	2.885121	0.001956	24	16	170	151	1
409	-0.444519	0.671700	-2.048973	1.000000	48	36	170	151	0
410	-0.268126	0.605706	-0.779257	0.782386	13	11	170	151	0
411	-0.247417	0.597713	-0.675756	0.750566	27	22	170	151	0
